# Library
URL: /foundations/iconography/library
Source: https://github.com/daangn/seed-design/blob/dev/docs/content/foundations/iconography/library.mdx



## Monochrome Icons

| Icon Name | React Component Name | Figma Name | Keywords | Services | Tags |
| icon_arrow_up_arrow_down_line | IconArrowUpArrowDownLine | Weight=Line | arrow, down, sort, up, 아래, 위, 정렬, 화살표 |  |  |
| icon_arrow_up_bracket_down_fill | IconArrowUpBracketDownFill | Weight=Fill | arrow, bracket, down, download, export, ios, ios_share, share, up, upload, 공유, 괄호, 내보내기, 다운로드, 아래, 업로드, 위, 화살표 |  |  |
| icon_arrow_up_bracket_down_line | IconArrowUpBracketDownLine | Weight=Line | arrow, bracket, down, download, export, ios, ios_share, share, up, upload, 공유, 괄호, 내보내기, 다운로드, 아래, 업로드, 위, 화살표 |  |  |
| icon_arrow_up_fill | IconArrowUpFill | Weight=Fill | arrow, arrow_upward, top, up, upward, 위로, 화살표 |  |  |
| icon_arrow_up_left_fill | IconArrowUpLeftFill | Weight=Fill | arrow, open, left, up, 대각선, 열기, 왼쪽, 위, 화살표 |  |  |
| icon_arrow_up_left_line | IconArrowUpLeftLine | Weight=Line | arrow, open, left, up, 대각선, 열기, 왼쪽, 위, 화살표 |  |  |
| icon_arrow_up_line | IconArrowUpLine | Weight=Line | arrow, arrow_upward, top, up, upward, 위로, 화살표 |  |  |
| icon_arrow_up_right_arrow_down_left_fill | IconArrowUpRightArrowDownLeftFill | Weight=Fill | arrow, down left, expand, large, map, place, up right, view, zoom, 오른쪽 위, 왼쪽 아래, 줌, 지도, 화살표, 확대, 확장, 전체보기 |  |  |
| icon_arrow_up_right_arrow_down_left_line | IconArrowUpRightArrowDownLeftLine | Weight=Line | arrow, down left, expand, large, map, place, up right, view, zoom, 오른쪽 위, 왼쪽 아래, 줌, 지도, 화살표, 확대, 확장, 전체보기 |  |  |
| icon_arrow_up_right_arrow_down_left_square_fill | IconArrowUpRightArrowDownLeftSquareFill | Weight=Fill | 면적, 영역, 확대, area, zone, expansion |  |  |
| icon_arrow_up_right_arrow_down_left_square_line | IconArrowUpRightArrowDownLeftSquareLine | Weight=Line | 면적, 영역, 확대, area, zone, expansion |  |  |
| icon_arrow_up_right_fill | IconArrowUpRightFill | Weight=Fill | arrow, open, right, up, 내보내기, 다운로드, 대각선, 열기, 오른쪽, 위, 화살표 |  |  |
| icon_arrow_up_right_line | IconArrowUpRightLine | Weight=Line | arrow, open, right, up, 내보내기, 다운로드, 대각선, 열기, 오른쪽, 위, 화살표 |  |  |
| icon_arrow_up_right_shoppingbag_tilted_fill | IconArrowUpRightShoppingbagTiltedFill | Weight=Fill | 바로구매, 쇼핑백, 쇼핑, 중고거래, 거래, 구매, 서비스, 화살표, buynow, shopping bag, shopping, secondhand trade, trade, purchase, service, arrow |  | service |
| icon_arrow_up_right_shoppingbag_tilted_line | IconArrowUpRightShoppingbagTiltedLine | Weight=Line | 바로구매, 쇼핑백, 쇼핑, 중고거래, 거래, 구매, 서비스, 화살표, buynow, shopping bag, shopping, secondhand trade, trade, purchase, service, arrow |  | service |
| icon_arrow_uturn_left_fill | IconArrowUturnLeftFill | Weight=Fill | arrow, chevron, left, more, reset, reverse, undo, uturn, 다시, 되돌리기, 뒤로가기, 왼쪽, 유턴, 이전, 적용취소, 취소, 화살표 |  |  |
| icon_arrow_uturn_left_line | IconArrowUturnLeftLine | Weight=Line | arrow, chevron, left, more, reset, reverse, undo, uturn, 다시, 되돌리기, 뒤로가기, 왼쪽, 유턴, 이전, 적용취소, 취소, 화살표 |  |  |
| icon_arrow_uturn_right_fill | IconArrowUturnRightFill | Weight=Fill | arrow, chevron, forward, more, next, redo, right, uturn, 다시, 다시적용, 되돌리기, 앞으로, 오른쪽, 유턴, 재실행, 화살표 |  |  |
| icon_arrow_uturn_right_line | IconArrowUturnRightLine | Weight=Line | arrow, chevron, forward, more, next, redo, right, uturn, 다시, 다시적용, 되돌리기, 앞으로, 오른쪽, 유턴, 재실행, 화살표 |  |  |
| icon_arrow2_clockwise_circular_fill | IconArrow2ClockwiseCircularFill | Weight=Fill | arrow, circular, clockwise, photo, photo_edit_rotate, refresh, reload, rotate, 사진, 새로고침, 시계방향, 원형, 화살표, 회전 |  |  |
| icon_arrow2_clockwise_circular_line | IconArrow2ClockwiseCircularLine | Weight=Line | arrow, circular, clockwise, photo, photo_edit_rotate, refresh, reload, rotate, 사진, 새로고침, 시계방향, 원형, 화살표, 회전 |  |  |
| icon_article_fill | IconArticleFill | Weight=Fill | article, blog, news, note, 기사, 노트, 뉴스, 블로그, 아티클 |  |  |
